restaurant,item,sodium
Mcdonalds,Artisan Grilled Chicken Sandwich,1110
Mcdonalds,Single Bacon Smokehouse Burger,1580
Mcdonalds,Double Bacon Smokehouse Burger,1920
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,1940
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,1980
Mcdonalds,Big Mac,950
Mcdonalds,Cheeseburger,680
Mcdonalds,Classic Chicken Sandwich,1040
Mcdonalds,Double Cheeseburger,1040
Mcdonalds,Double Quarter Pounder® with Cheese,1290
Mcdonalds,Filet-O-Fish®,640
Mcdonalds,Garlic White Cheddar Burger,790
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,1150
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,1190
Mcdonalds,Hamburger,480
Mcdonalds,Lobster Roll,630
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,1260
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,1890
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,1780
Mcdonalds,McChicken,600
Mcdonalds,McDouble,840
Mcdonalds,McRib,870
Mcdonalds,Pico Guacamole 1/4 lb Burger,920
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,1540
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,1430
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,1050
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,1000
Mcdonalds,Quarter Pounder® with Cheese,1090
Mcdonalds,Signature Sriracha Burger,1010
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,1550
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,1430
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,1310
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,1930
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,1820
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,910
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,1290
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,1890
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,3230
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,3770
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,6080
Mcdonalds,4 Piece Chicken McNuggets,340
Mcdonalds,6 Piece Chicken McNuggets,510
Mcdonalds,10 Piece Chicken McNuggets,840
Mcdonalds,20 Piece Chicken McNuggets,1680
Mcdonalds,40 piece Chicken McNuggets,3370
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1780
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,2670
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,4450
Mcdonalds,Premium Asian Salad w/o Chicken,20
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,740
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,1120
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,660
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,1230
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,1120
Mcdonalds,Premium Southwest Salad w/o Chicken,500
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,1070
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,960
Chick Fil-A,Chargrilled Chicken Club Sandwich,1120
Chick Fil-A,Chargrilled Chicken Sandwich,820
Chick Fil-A,Chick-n-Slider,800
Chick Fil-A,1 Piece Chick-n-Strips,320
Chick Fil-A,2 Piece Chick-n-Strips,630
Chick Fil-A,3 Piece Chick-n-Strips,940
Chick Fil-A,4 piece Chick-n-Strips,1250
Chick Fil-A,Chicken Deluxe,1590
Chick Fil-A,4 piece Chicken Nuggets,490
Chick Fil-A,6 piece Chicken Nuggets,730
Chick Fil-A,8 piece Chicken Nuggets,990
Chick Fil-A,12 piece Chicken Nuggets,1460
Chick Fil-A,30 piece Chicken Nuggets,3660
Chick Fil-A,Chicken Salad Sandwich,1130
Chick Fil-A,Chicken Sandwich,1350
Chick Fil-A,4 Piece Grilled Chicken Nuggets,220
Chick Fil-A,6 Piece Grilled Chicken Nuggets,330
Chick Fil-A,8 piece Grilled Chicken Nuggets,440
Chick Fil-A,12 Piece Grilled Chicken Nuggets,670
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,1310
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,1000
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,1200
Chick Fil-A,Spicy Chicken Sandwich,1620
Chick Fil-A,Spicy Deluxe,1760
Chick Fil-A,Chargrilled Chicken Cool Wrap,960
Chick Fil-A,Chicken Enchiladas Meal Kit,2520
Chick Fil-A,Chicken Parmesan Meal Kit,1780
Sonic,Hatch Green Chile Cheeseburger,1120
Sonic,Jalapeno Burger,930
Sonic,Jr. Burger,640
Sonic,Jr. Chili Cheeseburger,730
Sonic,Jr. Deluxe Burger,470
Sonic,Jr. Deluxe Cheeseburger,800
Sonic,Jr. Double Cheeseburger,1350
Sonic,Sonic Bacon Cheeseburger (w/mayo),1350
Sonic,Sonic Burger W/ Mustard,790
Sonic,Sonic Burger W/ Ketchup,860
Sonic,Sonic Burger W/ Mayonnaise,760
Sonic,Sonic Cheeseburger W/ Mustard,1120
Sonic,Sonic Cheeseburger W/ Ketchup,1190
Sonic,Sonic Cheeseburger W/ Mayonnaise,1090
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1630
Sonic,Super Sonic Double Cheeseburger W/ Mustard,1550
Sonic,Super Sonic Double Cheeseburger W/ Ketchup,1620
Sonic,Super Sonic Double Cheeseburger W/ Mayo,1520
Sonic,Super Sonic Jalapeno Double Cheeseburger,1690
Sonic,Veggie Burger W/ Ketchup,1410
Sonic,Veggie Burger With Mustard,1350
Sonic,Veggie Burger W/ Mustard,1300
Sonic,Grilled Asiago Caesar Chicken Club Sandwich,1570
Sonic,Crispy Asiago Caesar Chicken Club Sandwich,1120
Sonic,Grilled Chicken Sandwich,940
Sonic,Crispy Chicken Sandwich,1060
Sonic,Chicken Strip Sandwich,740
Sonic,3 Piece Crispy Chicken Tender Dinner,800
Sonic,5 Piece Crispy Chicken Tender Dinner,1340
Sonic,Deluxe Ultimate Chicken Sandwich,1550
Sonic,Buffalo Dunked Ultimate Chicken Sandwich,4520
Sonic,Garlic Parmesan Dunked Ultimate Chicken Sandwich,2180
Sonic,Small Jumbo Popcorn Chicken,1250
Sonic,Large Jumbo Popcorn Chicken,1890
Sonic,Small Spicy Jumbo Popcorn Chicken,860
Sonic,Large Spicy Jumbo Popcorn Chicken,1500
Sonic,3 Piece Super Crunch Chicken Strip Dinner,2160
Sonic,4 Piece Super Crunch Chicken Strip Dinner,2390
Sonic,5 Piece Super Crunch Chicken Strip Dinner,2610
Sonic,3 Piece Super Crunch Chicken Strips,670
Sonic,4 Piece Super Crunch Chicken Strips,900
Sonic,5 Piece Super Crunch Chicken Strips,1120
Sonic,Traditional Ultimate Chicken Sandwich,1540
Sonic,Ultimate Chicken Club,2070
Sonic,"All Beef All-american Style Dog – 6""",1180
Sonic,"All Beef Chicago Dog – 6""",2310
Sonic,"All Beef Chili Cheese Coney – 6""",1140
Sonic,"All Beef New York Dog – 6""",1250
Sonic,"All Beef Regular Hot Dog – 6""",870
Sonic,Cheesy Bacon Pretzel Dog - 6 In.,1410
Sonic,Corn Dog,530
Sonic,Footlong Quarter Pound Coney,1940
Sonic,The Original Pretzel Dog,910
Arbys,Arby's Melt,920
Arbys,Arby-Q Sandwich,1230
Arbys,Beef 'n Cheddar Classic,1280
Arbys,Beef 'n Cheddar Mid,2100
Arbys,Bourbon BBQ Brisket Sandwich,1460
Arbys,Bourbon BBQ Chicken Sandwich,1990
Arbys,Bourbon BBQ Steak Sandwich,1990
Arbys,Buttermilk Buffalo Chicken Sandwich,2110
