Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
8/13/2023,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,GK,90,4,1,3,75,0,1.4,0,0,0,0,1,6,16.7,21,6,14.3,25.3,4,75,52,18,1,5.6,0,12,Match Report
8/19/2023,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,GK,90,5,1,4,80,0,1.3,0,0,0,0,4,12,33.3,46,6,15.2,25.2,5,100,64.2,6,1,16.7,2,22,Match Report
8/27/2023,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,GK,90,8,1,7,87.5,0,1.3,0,0,0,0,1,14,7.1,35,6,22.9,28.6,13,46.2,40.3,11,0,0,0,5,Match Report
9/3/2023,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,GK,90,3,0,3,100,1,0.2,0,0,0,0,3,4,75,29,3,13.8,21.9,6,0,22.8,9,1,11.1,2,15.2,Match Report
9/16/2023,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,GK,90,2,1,1,50,0,0.1,0,0,0,0,2,4,50,33,5,9.1,23.9,7,14.3,24.9,11,0,0,2,25.7,Match Report
9/24/2023,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,GK,90,4,1,3,75,0,1.4,0,0,0,0,2,4,50,36,7,11.1,23.9,0,,,14,1,7.1,2,17.2,Match Report
9/30/2023,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,GK,90,8,2,7,75,0,2.2,0,0,0,0,8,21,38.1,48,7,39.6,33.4,6,33.3,32.5,21,1,4.8,0,11.3,Match Report
10/5/2023,Thu,Europa Lg,Group stage,Home,W 2–0,eng Liverpool,be Union SG,Y,GK,90,1,0,1,100,1,0.4,0,0,0,0,2,6,33.3,34,5,11.8,24.1,7,28.6,40.3,15,1,6.7,4,18.7,Match Report
10/8/2023,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,GK,90,3,2,1,33.3,0,1.3,0,0,0,0,2,8,25,54,5,11.1,24.5,2,100,63.5,11,0,0,2,25,Match Report
10/21/2023,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,GK,90,1,0,1,100,1,0,0,0,0,0,1,1,100,35,5,2.9,20.5,5,0,18,6,2,33.3,2,21.8,Match Report
